Day,Month,Year,DOY,Plot,subplot,subsubplot,pft,weight 
22,9,2018,265,1,ne,ne,dead,33.56
22,9,2018,265,1,ne,ne,grasses,12.84
22,9,2018,265,1,ne,ne,herbs,1.63
22,9,2018,265,1,ne,nw,dead,15.04
22,9,2018,265,1,ne,nw,grasses,12.77
22,9,2018,265,1,ne,nw,herbs,4.61
22,9,2018,265,2,ne,ne,dead,6.33
22,9,2018,265,2,ne,ne,grasses,0.5
22,9,2018,265,2,ne,ne,herbs,0.5
22,9,2018,265,2,ne,sw,dead,8.66
22,9,2018,265,2,ne,sw,grasses ,3.62
22,9,2018,265,3,nw,nw,dead,29.03
22,9,2018,265,3,nw,nw,grasses,6.11
22,9,2018,265,3,nw,nw,herbs,0.84
22,9,2018,265,3,nw,se,dead,1.52
22,9,2018,265,3,nw,se,grasses,0.89
22,9,2018,265,3,nw,se,herbs,0.45
22,9,2018,265,4,nw,ne,dead,6.72
22,9,2018,265,4,nw,ne,grasses,2.08
22,9,2018,265,4,nw,ne,herbs,5.49
22,9,2018,265,4,nw,sw,dead,11.63
22,9,2018,265,4,nw,sw,grasses,5.35
22,9,2018,265,4,nw,sw,herbs,1.26
22,9,2018,265,5,nw,nw,dead,18.67
22,9,2018,265,5,nw,nw,grasses,2.92
22,9,2018,265,5,nw,se,dead,28.49
22,9,2018,265,5,nw,se,grasses,6.11
22,9,2018,265,6,se,ne,dead,2.46
22,9,2018,265,6,se,ne,grasses,0.14
22,9,2018,265,6,se,se,dead,0.39
22,9,2018,265,6,se,se,herbs,0.08
22,9,2018,265,7,ne,nw,dead,1.41
22,9,2018,265,7,ne,nw,herbs,1.46
22,9,2018,265,7,ne,se,herbs,3.21
22,9,2018,265,8,nw,nw,dead,5.79
22,9,2018,265,8,nw,nw,grasses,1.99
22,9,2018,265,8,nw,se,dead,21.63
22,9,2018,265,8,nw,se,grasses,3.4
22,9,2018,265,9,sw,nw,dead,3.82
22,9,2018,265,9,sw,nw,grasses,0.07
22,9,2018,265,9,sw,nw,herbs,1.67
22,9,2018,265,9,sw,se,dead,4.44
22,9,2018,265,9,sw,se,grasses,2.28
22,9,2018,265,9,sw,se,herbs,0.54
22,9,2018,265,10,sw,nw,dead,11.03
22,9,2018,265,10,sw,nw,grasses ,0.3
22,9,2018,265,10,sw,se,dead,8.23
22,9,2018,265,10,sw,se,grasses,2.07
22,9,2018,265,10,sw,se,herbs,0.38
22,9,2018,265,11,ne,ne,dead,1.49
22,9,2018,265,11,ne,ne,grasses,1.18
22,9,2018,265,11,ne,sw,dead,8.97
22,9,2018,265,12,sw,se,dead,20.95
22,9,2018,265,12,sw,se,grasses,3.97
22,9,2018,265,12,sw,sw,dead,20.55
22,9,2018,265,12,sw,sw,grasses,6.62
22,9,2018,265,13,nw,ne,dead,5.53
22,9,2018,265,13,nw,ne,grasses,0.77
22,9,2018,265,13,nw,nw,dead,9.74
22,9,2018,265,13,nw,nw,grasses,3.56
22,9,2018,265,13,nw,nw,herbs,5.78
22,9,2018,265,14,ne,nw,dead,19.21
22,9,2018,265,14,ne,nw,grasses,0.97
22,9,2018,265,14,ne,sw,dead,49.79
22,9,2018,265,14,ne,sw,grasses,6.87
22,9,2018,265,15,nw,nw,dead,16.65
22,9,2018,265,15,nw,nw,grasses ,6.94
22,9,2018,265,15,nw,se,dead,6.01
22,9,2018,265,15,nw,se,grasses ,2.29
22,9,2018,265,16,sw,ne,dead,2.33
22,9,2018,265,16,sw,ne,grasses ,3.22
22,9,2018,265,16,sw,sw,dead,11.78
22,9,2018,265,16,sw,sw,grasses ,7.48
22,9,2018,265,17,ne,sw,grasses ,0.99
22,9,2018,265,17,ne,sw,herbs,0.15
22,9,2018,265,17,nw,se,dead,8.64
22,9,2018,265,17,nw,se,grasses ,3.48
22,9,2018,265,17,nw,se,herbs,0.16
22,9,2018,265,17,nw,sw,dead,5.77
22,9,2018,265,17,nw,sw,grasses ,4.14
22,9,2018,265,18,nw,ne,dead,30.95
22,9,2018,265,18,nw,sw,dead,0.97
22,9,2018,265,18,nw,sw,grasses ,0.24
22,9,2018,265,18,nw,sw,herbs,3.7
22,9,2018,265,19,ne,ne,dead,11.35
22,9,2018,265,19,ne,ne,grasses ,5.11
22,9,2018,265,19,ne,ne,herbs,0.2
22,9,2018,265,19,ne,se,dead,26.08
22,9,2018,265,19,ne,se,grasses ,12.36
22,9,2018,265,19,ne,se,herbs,0.11
22,9,2018,265,20,sw,nw,dead,16.5
22,9,2018,265,20,sw,nw,grasses ,7.44
22,9,2018,265,20,sw,se,dead,33.84
22,9,2018,265,20,sw,se,grasses ,18.08
22,9,2018,265,21,se,se,dead,15.86
22,9,2018,265,21,se,se,grasses ,2.19
22,9,2018,265,21,se,se,herbs,0.48
22,9,2018,265,21,se,sw,dead,5.95
22,9,2018,265,21,se,sw,grasses ,4.78
22,9,2018,265,22,se,nw,dead,12.09
22,9,2018,265,22,se,nw,grasses ,8.25
22,9,2018,265,22,se,se,dead,29.51
22,9,2018,265,22,se,se,grasses ,9.06
22,9,2018,265,22,se,se,herbs,7.76
22,9,2018,265,23,nw,nw,dead,0.27
22,9,2018,265,23,nw,nw,grasses ,0.94
22,9,2018,265,23,nw,se,dead,18.21
22,9,2018,265,23,nw,se,grasses ,6.45
22,9,2018,265,24,se,ne,dead,6.71
22,9,2018,265,24,se,ne,grasses ,3.08
22,9,2018,265,24,se,sw,dead,0.69
22,9,2018,265,24,se,sw,grasses ,0.94
22,9,2018,265,24,se,sw,herbs,0.13
22,9,2018,265,25,sw,ne,dead,4.26
22,9,2018,265,25,sw,ne,grasses ,3.89
22,9,2018,265,25,sw,sw,dead,15.55
22,9,2018,265,25,sw,sw,grasses ,11.99
