"","Day","Month","Year","DOY","Plot","Subplot","Code","Percent.Cover","binomial","lifeform","family","genus","species"
"1",8,6,2018,159,1,"NE","BARE",8,"bareground","BARE","bareground","bareground",NA
"2",8,6,2018,159,1,"NE","SoEl",12,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"3",8,6,2018,159,1,"NE","BoGr",25,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"4",8,6,2018,159,1,"NE","LITT",92,"litter","LITT","litter","litter",NA
"5",8,6,2018,159,2,"NE","LaCo",6,"Laennecia coulteri","Forb","Asteraceae","Laennecia","coulteri"
"6",8,6,2018,159,2,"NE","BoGr",20,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"7",8,6,2018,159,2,"NE","SoEl",22,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"8",8,6,2018,159,2,"NE","BARE",30,"bareground","BARE","bareground","bareground",NA
"9",8,6,2018,159,2,"NE","LITT",70,"litter","LITT","litter","litter",NA
"10",8,6,2018,159,3,"NW","BoGr",17,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"11",8,6,2018,159,3,"NW","SoEl",18,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"12",8,6,2018,159,3,"NW","BARE",32,"bareground","BARE","bareground","bareground",NA
"13",8,6,2018,159,3,"NW","LITT",60,"litter","LITT","litter","litter",NA
"14",8,6,2018,159,4,"NW","BARE",4,"bareground","BARE","bareground","bareground",NA
"15",8,6,2018,159,4,"NW","SoEl",6,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"16",8,6,2018,159,4,"NW","BoGr",11,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"17",8,6,2018,159,4,"NW","LITT",98,"litter","LITT","litter","litter",NA
"18",8,6,2018,159,5,"NW","RaCo",1,"Ratibida columnifera","Forb","Asteraceae","Ratibida","columnifera"
"19",8,6,2018,159,5,"NW","LaCo",3,"Laennecia coulteri","Forb","Asteraceae","Laennecia","coulteri"
"20",8,6,2018,159,5,"NW","SoEl",8,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"21",8,6,2018,159,5,"NW","BoGr",9,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"22",8,6,2018,159,5,"NW","LITT",33,"litter","LITT","litter","litter",NA
"23",8,6,2018,159,5,"NW","BARE",38,"bareground","BARE","bareground","bareground",NA
"24",8,6,2018,159,6,"SE","SoEl",12,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"25",8,6,2018,159,6,"SE","LITT",100,"litter","LITT","litter","litter",NA
"26",8,6,2018,159,7,"NE","ChIn",7,"Chinopodium incanum","Forb","Chenopodiaceae","Chinopodium","incanum"
"27",8,6,2018,159,7,"NE","BoGr",15,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"28",8,6,2018,159,7,"NE","LaCo",21,"Laennecia coulteri","Forb","Asteraceae","Laennecia","coulteri"
"29",8,6,2018,159,7,"NE","LITT",90,"litter","LITT","litter","litter",NA
"30",8,6,2018,159,8,"NW","SoEl",15,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"31",8,6,2018,159,8,"NW","BoGr",38,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"32",8,6,2018,159,8,"NW","LITT",100,"litter","LITT","litter","litter",NA
"33",8,6,2018,159,9,"SW","BARE",2,"bareground","BARE","bareground","bareground",NA
"34",8,6,2018,159,9,"SW","SoEl",2,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"35",8,6,2018,159,9,"SW","LaCo",6,"Laennecia coulteri","Forb","Asteraceae","Laennecia","coulteri"
"36",8,6,2018,159,9,"SW","BoGr",17,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"37",8,6,2018,159,9,"SW","LITT",95,"litter","LITT","litter","litter",NA
"38",8,6,2018,159,10,"SW","SoEl",6,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"39",8,6,2018,159,10,"SW","BARE",16,"bareground","BARE","bareground","bareground",NA
"40",8,6,2018,159,10,"SW","BoGr",19,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"41",8,6,2018,159,10,"SW","LITT",87,"litter","LITT","litter","litter",NA
"42",8,6,2018,159,11,"NE","LaCo",2,"Laennecia coulteri","Forb","Asteraceae","Laennecia","coulteri"
"43",8,6,2018,159,11,"NE","ChIn",3,"Chinopodium incanum","Forb","Chenopodiaceae","Chinopodium","incanum"
"44",8,6,2018,159,11,"NE","BARE",4,"bareground","BARE","bareground","bareground",NA
"45",8,6,2018,159,11,"NE","SoEl",10,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"46",8,6,2018,159,11,"NE","BoGr",17,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"47",8,6,2018,159,11,"NE","LITT",82,"litter","LITT","litter","litter",NA
"48",8,6,2018,159,12,"SW","ChIn",2,"Chinopodium incanum","Forb","Chenopodiaceae","Chinopodium","incanum"
"49",8,6,2018,159,12,"SW","BARE",5,"bareground","BARE","bareground","bareground",NA
"50",8,6,2018,159,12,"SW","SoEl",6,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"51",8,6,2018,159,12,"SW","BoGr",24,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"52",8,6,2018,159,12,"SW","LITT",85,"litter","LITT","litter","litter",NA
"53",8,6,2018,159,13,"NW","BoGr",6,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"54",8,6,2018,159,13,"NW","SoEl",12,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"55",8,6,2018,159,13,"NW","LITT",110,"litter","LITT","litter","litter",NA
"56",8,6,2018,159,14,"NE","SoEl",4,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"57",8,6,2018,159,14,"NE","BARE",6,"bareground","BARE","bareground","bareground",NA
"58",8,6,2018,159,14,"NE","BoGr",20,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"59",8,6,2018,159,14,"NE","LITT",95,"litter","LITT","litter","litter",NA
"60",8,6,2018,159,15,"NW","ChIn",1,"Chinopodium incanum","Forb","Chenopodiaceae","Chinopodium","incanum"
"61",8,6,2018,159,15,"NW","BARE",5,"bareground","BARE","bareground","bareground",NA
"62",8,6,2018,159,15,"NW","BoGr",26,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"63",8,6,2018,159,15,"NW","LITT",80,"litter","LITT","litter","litter",NA
"64",8,6,2018,159,16,"SW","SoEl",1,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"65",8,6,2018,159,16,"SW","BoGr",35,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"66",8,6,2018,159,16,"SW","LITT",100,"litter","LITT","litter","litter",NA
"67",8,6,2018,159,17,"NW","ChIn",2,"Chinopodium incanum","Forb","Chenopodiaceae","Chinopodium","incanum"
"68",8,6,2018,159,17,"NW","BARE",23,"bareground","BARE","bareground","bareground",NA
"69",8,6,2018,159,17,"NW","BoGr",45,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"70",8,6,2018,159,17,"NW","LITT",77,"litter","LITT","litter","litter",NA
"71",8,6,2018,159,18,"NW","ChIn",3,"Chinopodium incanum","Forb","Chenopodiaceae","Chinopodium","incanum"
"72",8,6,2018,159,18,"NW","LaCo",3,"Laennecia coulteri","Forb","Asteraceae","Laennecia","coulteri"
"73",8,6,2018,159,18,"NW","BoGr",15,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"74",8,6,2018,159,18,"NW","LITT",100,"litter","LITT","litter","litter",NA
"75",8,6,2018,159,19,"NE","SoEl",4,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"76",8,6,2018,159,19,"NE","ChIn",8,"Chinopodium incanum","Forb","Chenopodiaceae","Chinopodium","incanum"
"77",8,6,2018,159,19,"NE","BARE",10,"bareground","BARE","bareground","bareground",NA
"78",8,6,2018,159,19,"NE","PrGl",12,"Prosopis glandulosa","Shrub/tree","Fabaceae","Prosopis","glandulosa"
"79",8,6,2018,159,19,"NE","BoGr",17,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"80",8,6,2018,159,19,"NE","LITT",85,"litter","LITT","litter","litter",NA
"81",8,6,2018,159,20,"SW","SoEl",1,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"82",8,6,2018,159,20,"SW","BARE",2,"bareground","BARE","bareground","bareground",NA
"83",8,6,2018,159,20,"SW","BoGr",37,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"84",8,6,2018,159,20,"SW","LITT",98,"litter","LITT","litter","litter",NA
"85",8,6,2018,159,21,"SE","SoEl",4,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"86",8,6,2018,159,21,"SE","BoGr",40,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"87",8,6,2018,159,21,"SE","LITT",100,"litter","LITT","litter","litter",NA
"88",8,6,2018,159,22,"SE","SoEl",10,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"89",8,6,2018,159,22,"SE","BoGr",23,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"90",8,6,2018,159,22,"SE","LITT",95,"litter","LITT","litter","litter",NA
"91",8,6,2018,159,23,"NW","ChIn",1,"Chinopodium incanum","Forb","Chenopodiaceae","Chinopodium","incanum"
"92",8,6,2018,159,23,"NW","LaCo",3,"Laennecia coulteri","Forb","Asteraceae","Laennecia","coulteri"
"93",8,6,2018,159,23,"NW","SoEl",5,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"94",8,6,2018,159,23,"NW","BARE",11,"bareground","BARE","bareground","bareground",NA
"95",8,6,2018,159,23,"NW","BoGr",24,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"96",8,6,2018,159,23,"NW","LITT",85,"litter","LITT","litter","litter",NA
"97",8,6,2018,159,24,"SE","SoEl",3,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"98",8,6,2018,159,24,"SE","BARE",5,"bareground","BARE","bareground","bareground",NA
"99",8,6,2018,159,24,"SE","BoGr",68,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"100",8,6,2018,159,24,"SE","LITT",82,"litter","LITT","litter","litter",NA
"101",8,6,2018,159,25,"SW","SoEl",1,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"102",8,6,2018,159,25,"SW","ChIn",2,"Chinopodium incanum","Forb","Chenopodiaceae","Chinopodium","incanum"
"103",8,6,2018,159,25,"SW","LaCo",4,"Laennecia coulteri","Forb","Asteraceae","Laennecia","coulteri"
"104",8,6,2018,159,25,"SW","PrGl",13,"Prosopis glandulosa","Shrub/tree","Fabaceae","Prosopis","glandulosa"
"105",8,6,2018,159,25,"SW","LITT",30,"litter","LITT","litter","litter",NA
"106",8,6,2018,159,25,"SW","BARE",70,"bareground","BARE","bareground","bareground",NA
"107",8,6,2018,159,26,"NE","BARE",1,"bareground","BARE","bareground","bareground",NA
"108",8,6,2018,159,26,"NE","ChIn",1,"Chinopodium incanum","Forb","Chenopodiaceae","Chinopodium","incanum"
"109",8,6,2018,159,26,"NE","SoEl",4,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"110",8,6,2018,159,26,"NE","LaCo",6,"Laennecia coulteri","Forb","Asteraceae","Laennecia","coulteri"
"111",8,6,2018,159,26,"NE","BoGr",22,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"112",8,6,2018,159,26,"NE","LITT",100,"litter","LITT","litter","litter",NA
"113",8,6,2018,159,27,"SW","SoEl",3,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"114",8,6,2018,159,27,"SW","ChIn",4,"Chinopodium incanum","Forb","Chenopodiaceae","Chinopodium","incanum"
"115",8,6,2018,159,27,"SW","BARE",5,"bareground","BARE","bareground","bareground",NA
"116",8,6,2018,159,27,"SW","BoGr",15,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"117",8,6,2018,159,27,"SW","LITT",95,"litter","LITT","litter","litter",NA
"118",8,6,2018,159,28,"SW","SoEl",1,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"119",8,6,2018,159,28,"SW","ChIn",7,"Chinopodium incanum","Forb","Chenopodiaceae","Chinopodium","incanum"
"120",8,6,2018,159,28,"SW","LaCo",7,"Laennecia coulteri","Forb","Asteraceae","Laennecia","coulteri"
"121",8,6,2018,159,28,"SW","BARE",50,"bareground","BARE","bareground","bareground",NA
"122",8,6,2018,159,28,"SW","LITT",50,"litter","LITT","litter","litter",NA
"123",8,6,2018,159,29,"NE","SoEl",2,"Solanum elaegnaifolium","Forb","Solanaceae","Solanum","elaegnaifolium"
"124",8,6,2018,159,29,"NE","BARE",3,"bareground","BARE","bareground","bareground",NA
"125",8,6,2018,159,29,"NE","BoGr",52,"Bouteloua gracilis","Grass","Poaceae","Bouteloua","gracilis"
"126",8,6,2018,159,29,"NE","LITT",85,"litter","LITT","litter","litter",NA
"127",8,6,2018,159,30,"NW","BARE",1,"bareground","BARE","bareground","bareground",NA
"128",8,6,2018,159,30,"NW","ChIn",1,"Chinopodium incanum","Forb","Chenopodiaceae","Chinopodium","incanum"
